Departamento,City,Country,State,Lat,Long
Bella Vista,Bella Vista,Argentina,Corrientes,-28.5066193,-59.04225529999999
Berón de Astrada,San Antonio de Itati (o Beron de Astrada),Argentina,Corrientes,-27.5514214,-57.5303376
Capital,Corrientes,Argentina,Corrientes,-27.4692131,-58.8306349
Concepción,Concepcion (o Yaguarete Cora),Argentina,Corrientes,-28.3944458,-57.8906933
Curuzú Cuatiá,Curuzu Cuatia,Argentina,Corrientes,-29.7905505,-58.051615
Empedrado,Empedrado,Argentina,Corrientes,-27.952497,-58.80319209999999
Esquina,Esquina,Argentina,Corrientes,-30.016326,-59.533722
General Alvear,Alvear,Argentina,Corrientes,-29.08992989999999,-56.5448071
General Paz,Caa Cati (o Nuestra Senora del Rosario de Caa Cati),Argentina,Corrientes,-27.7504918,-57.61982399999999
Goya,Goya,Argentina,Corrientes,-29.1400282,-59.2635521
Itatí,Itati,Argentina,Corrientes,-27.2697235,-58.24145499999999
Ituzaingó,Ituzaingo,Argentina,Corrientes,-27.5865959,-56.69210899999999
Lavalle,Santa Lucia,Argentina,Corrientes,-28.9900786,-59.10150299999999
Mburucuyá,Mburucuya,Argentina,Corrientes,-28.0485138,-58.2251109
Mercedes,Mercedes,Argentina,Corrientes,-29.1845004,-58.074254
Monte Caseros,Monte Caseros,Argentina,Corrientes,-30.2492672,-57.62863229999999
Paso de los Libres,Paso de los Libres,Argentina,Corrientes,-29.7137101,-57.0855601
Saladas,Saladas,Argentina,Corrientes,-28.2557422,-58.62335659999999
San Cosme,San Cosme,Argentina,Corrientes,-27.3708717,-58.5118505
San Luis del Palmar,San Luis del Palmar,Argentina,Corrientes,-27.5119817,-58.5598537
San Martín,La Cruz,Argentina,Corrientes,-29.1762618,-56.6415899
San Miguel,San Miguel,Argentina,Corrientes,-27.9947542,-57.591839
San Roque,San Roque,Argentina,Corrientes,-28.5768429,-58.7089758
Santo Tomé,Santo Tome,Argentina,Corrientes,-28.5524101,-56.0452135
Sauce,Sauce,Argentina,Corrientes,-30.0860397,-58.7881101
